http://twitter.com/pouvraire/statuses/697803662270267392	screams @ deutsche bahn . __d__	true	negative	Allgemein:negative 	
http://www.berlin.de/aktuelles/berlin/4224371-958092-studie-messen-bringen-berlin-millionen.html	: messen bringen berlin millionen studie : messen bringen berlin millionen berlin ( dpa/bb ) - jeder euro messe-umsatz bringt 5,10 euro zusätzliche kaufkraft nach berlin . das ist das ergebnis einer studie der investitionsbank berlin über wirtschaftliche effekte der messen in berlin , di __d__	true	negative		
http://tvheute.at/disney-programm/sendung/phineas-und-ferb-kids\_172862187	tv-programm : phineas und ferb ( kids ) " die dampfbrüder / operation "" picknick "" zeichentrickserie usa 2007 , 21 ′ es geht wieder auf zeitreise ! wir befinden uns im 20 . jahrhundert , wo phineas , ferb und ihre freunde dampftechnik verwenden , um ihre aufgaben im haushalt schneller erledigen zu " __d__	true	negative		
http://twitter.com/02dilemaRD/statuses/600583497380573184	der gdl : bahn will streik in letzter minute verhindern : ... __d__	true	negative	Allgemein:negative 	
http://twitter.com/alech/statuses/628593409494810625	@db_bahn f hbf , nordeingang ; http://t.co/dmxohnynno __d__	true	negative	Allgemein:negative 	
http://twitter.com/TomBovi/statuses/733429231208779776	hört das blocken zwischen spd und cdu mal auf ? bei der forderung nach dem s-bahn-knotenpunkt in ... https://t.co/cq1jnc0l2x __d__	true	negative	Allgemein:negative 	
http://www.goldreporter.de/us-milliardaer-warnt-vor-aktien-und-raet-zu-gold/gold/58327/#comment-171021	smarty , du besitzt eine abgezahlte wohnung ,... hey smarty , du besitzt eine abgezahlte wohnung , die du , zitat : „ wirklich sehr sehr liebst “ und dann noch einen 13 -jährigen sohn . mein rat : lebe dein leben , behalte deine wohnung und kümmere dich liebevoll um deinen sohn ( er wird es dir irgendwann sehr danken !!) kennst du den spruch : „ das gras auf der anderen seite des zauns ist immer grüner …“ ? denk mal drüber nach und lass dich nicht aus der bahn schmeissen in diesen wirklich panischen zeiten . …. keep cool and carry on … lg 0 __d__	true	negative		
http://www.msn.com/de-de/wetter/topgeschichten/unwetter-bilanz-65255-blitze-in-24-stunden-%c3%bcber-nrw/ar-AAcBBsA	: 65.255 blitze in 24 stunden über nrw mit ausfällen und beeinträchtigungen rechnen . umstürzende bäume hatten der bahn zufolge an vielen orten die oberleitungen beschädigt und die schienen blockiert . die einsatzkräfte seien mit hochdruck dabei , die strecken zu räumen und beschädigte __d__	true	negative	Sonstige_Unregelmässigkeiten:negative 	
http://www.facebook.com/307802028230/posts/10153284022388231?comment\_id=10153284078998231#307802028230\_10153284022388231\_10153284078998231	: magdeburger verkehrsbetriebe hallo daniel . .. das problem an und für sich , ist das oft an der haltestelle steht und nicht weiß kommt die bahn bzw der bus noch oder nicht .... das betrifft die linie 55 , linie 52 und linie 2 .... mal kommen sie verspätet oder sind schon eher durchgefahren oder fallen aus .... das es durch die baumaßnahmen in magdeburg mal dazu kommen kann seh ich ein ... aber in letzter zeit häufigen sich diese zustände .... __d__	true	negative	Allgemein:negative 	
https://www.dieharke.de/Termine/61e4477564bbeeb970460d418f7d8a82/Seite\_130.html	2. 581 - 2. 600 ( von 56 .) « ‹ 1 2 3 129 1. .. termine 2. 581 - 2. 600 ( von 56 .) « ‹ 1 2 3 129 130 131 › » 19.07.2015 19.07.2015 09:00 uhr - 11:00 uhr ärztlicher notdienst gesundheit & notdienste » ärzte krankenhaus stolzenau 31592 stolzenau 19.07.2015 09:00 uhr - 12:00 uhr ärztlicher notdienst ge __d__	true	negative		
http://www.facebook.com/152033178165965/posts/856977564338186#152033178165965\_856977564338186	: db bahn sitzt man bei der bahn heute gemeinschaftlich in der eisdiele oder nennt sich das arbeit , was in nrw zurzeit praktiziert wird ? __d__	true	negative	Allgemein:negative 	
http://www.facebook.com/125797237471539/posts/1062979770419943?comment\_id=1063381477046439#125797237471539\_1062979770419943\_1063381477046439	: mario barth da sollte sich unsere bahn mal ein beispiel nehmen . http://www.heftig.co/runaway-train / __d__	true	negative	Allgemein:negative 	
http://www.facebook.com/120907856628/posts/10152968999956629?comment\_id=10152969243641629#120907856628\_10152968999956629\_10152969243641629	: heide park resort erstmal mit der bahn nach hinten fahren und dann krake und flug der dämonen xd __d__	true	negative	Allgemein:negative 	
http://www.gutefrage.net/frage/welcher-fagrkarte-fuer-2-wochen-kaufen#question-47517899	fagrkarte für 2 wochen kaufen ? guten tag , ich habe eine frage , ich bin schüler und ich muss 2 wochen lang von 21271 hanstedt mit dem bus nach buchholz nordheide und dann mit der bahn von buchholz nordheide nach hamburg hbf fahren . welche karte ist am besten geeignet für mich damit ich nicht soviel geld ausgeben muss ? auf eine antwort würde ich mich freuen ! mit freundlichen grüßen gutefrage.net-tag : fahrkarte __d__	true	negative	Allgemein:negative 	
http://twitter.com/Zimtsternmaus/statuses/718534377102319624	auf dem bettordnung muss sein , lieber kobold freue mich auch ich koche kaffee , du holst brötchen ? danach abenteuer bahn __d__	true	negative	Allgemein:negative 	
http://www.alovelyjourney.de/2015/11/geschenktipps-schones-unter-40-euro.html#1447859926903	uns wird es deshalb wohl die bahn von hubel ... bei uns wird es deshalb wohl die bahn von hubelino geben , die kann man auf lego duplo setzen :) http://www.kugelfisch-blog.de/2015/11/geschenke-ideen-2-und-3-jahre.htm __d__	true	negative	Allgemein:negative 	
http://www.morgenweb.de/nachrichten/sudwest/stuttgart-21-polizeieinsatz-war-rechtswidrig-1.2524968	war rechtswidrig | südwest stuttgart-21-polizeieinsatz war rechtswidrig fünf jahre nach dem rüden polizeieinsatz mit wasserwerfen gegen die gegner des bahnprojekts stuttgart 21 steht fest : das land hat unter der damaligen cdu/fdp-regierung 2010 gegen das grundgesetz verstoßen __d__	true	negative		
http://twitter.com/DerFiXx/statuses/672933068064313344	habe ein @youtube -video von @tilletv positiv bewertet : https://t.co/azla27pdb6 nachts in s-bahn aufgewacht [ hd +] tillevision __d__	true	negative	Allgemein:negative 	
http://twitter.com/GamingFai/statuses/679351124407754752	meine bahn bitte nicht verspätung haben k thx __d__	true	negative	Zugfahrt:negative 	
http://www.fnweb.de/region/baubeginn-mit-hindernissen-1.2329425	mit hindernissen " gewinnen . würzner betonte die wirtschaftlichkeit des mobilitätsnetzes und stellte den nutzen für die pendler und den umweltschutz heraus : "" der öffentliche nahverkehr ist das rückgrat der klimafreundlichen mobilität ."" für die verkehrsteilnehmer der " __d__	true	negative	Allgemein:negative 	
http://twitter.com/airjibeer/statuses/674299664150196224	.. im #s21 tunnelgewurstel wird das zum albtraum und zur todesfalle #bahn https://t.co/wykiwcfxs5 __d__	true	negative	Allgemein:negative 	
http://twitter.com/avariluna/statuses/689402683879358464	@db_info : stellwerksstörung in #köln hbf https://t.co/txnhobhdtl #bahn #nw #re1 #re5 #re6a #re8 #re9 #re12 #re22 #rb24 #rb25 #rb27 __d__	true	negative	Sonstige_Unregelmässigkeiten:negative 	
http://www.facebook.com/152033178165965/posts/850581241644485?comment\_id=850657224970220#152033178165965\_850581241644485\_850657224970220	: db bahn oder den haken , für direktverbindungen __d__	true	negative	Allgemein:negative 	
http://twitter.com/Maritierchen/statuses/687520838204166144	@db_bahn sie wollten doch nur wissen , was für ein ticket du gebucht hast , nicht dein ticket sehen .. __d__	true	negative	Allgemein:negative 	
